"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Biological_Theme"
"GO_BP","1","GO:0006939","smooth muscle contraction","1/52","96/15373",0.278401621450992,0.37825292925632,0.27635515260763,"ACTA2",1,"Other biological processes"
"GO_BP","1","GO:0090398","cellular senescence","1/52","96/15373",0.278401621450992,0.37825292925632,0.27635515260763,"B2M",1,"Other biological processes"
"GO_BP","1","GO:0062012","regulation of small molecule metabolic process","2/52","308/15373",0.279781573707001,0.378628703823356,0.276629697045458,"CD74/NNMT",2,"Metabolic processes"
"GO_BP","1","GO:0007044","cell-substrate junction assembly","1/52","97/15373",0.280857804974233,0.378628703823356,0.276629697045458,"ACTG1",1,"Other biological processes"
"GO_BP","1","GO:0010906","regulation of glucose metabolic process","1/52","97/15373",0.280857804974233,0.378628703823356,0.276629697045458,"NNMT",1,"Metabolic processes"
"GO_BP","1","GO:0032611","interleukin-1 beta production","1/52","97/15373",0.280857804974233,0.378628703823356,0.276629697045458,"IFI16",1,"Other biological processes"
"GO_BP","1","GO:0032651","regulation of interleukin-1 beta production","1/52","97/15373",0.280857804974233,0.378628703823356,0.276629697045458,"IFI16",1,"Other biological processes"
"GO_BP","1","GO:0044784","metaphase/anaphase transition of cell cycle","1/52","97/15373",0.280857804974233,0.378628703823356,0.276629697045458,"ACTB",1,"Cell cycle / proliferation"
"GO_BP","1","GO:0070167","regulation of biomineral tissue development","1/52","97/15373",0.280857804974233,0.378628703823356,0.276629697045458,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0002027","regulation of heart rate","1/52","98/15373",0.283305788356096,0.380662805128191,0.278115830616511,"TPM1",1,"Other biological processes"
