"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Temporal_Cluster"
"GO:0006457","protein folding","23/468","204/15373",0.112745098039216,3.70348374392492,6.88783119161095,6.64317867375491e-08,1.55325821365732e-05,1.50564148230827e-05,"TBCB/DNAJC19/FKBP8/DNAJB11/PFDN4/PPIC/CCT4/CCT2/TCP1/CDC123/AHSA1/ERP44/SELENOF/FKBP10/CCT8/WDR83OS/TBCA/PDIA6/GRN/CALR/LMAN1/CCT5/LTBP4",23,"2"
"GO:0032543","mitochondrial translation","18/468","129/15373",0.13953488372093,4.5834824090638,7.24223789024743,7.1146309705886e-08,1.56563732123364e-05,1.51764109558376e-05,"MRPL36/MRPS6/MRPS16/GADD45GIP1/TSFM/MRPS14/MRPS33/MRPL9/MRPL34/CHCHD1/MRPL3/MRPL58/MRPL14/MRPL39/MRPS12/MRPS15/MRPL47/TRMT10C",18,"2"
"GO:0022900","electron transport chain","17/468","118/15373",0.144067796610169,4.73238084890627,7.21178837696102,1.0210933003335e-07,2.12217224252646e-05,2.05711486529176e-05,"ETFB/GHITM/NDUFB5/NDUFA8/SDHB/SDHC/NDUFB3/NDUFB7/CYC1/UQCRFS1/NDUFB9/DGUOK/NDUFS2/COX4I1/CHCHD2/COX5B/UQCRH",17,"2"
"GO:0009142","nucleoside triphosphate biosynthetic process","17/468","119/15373",0.142857142857143,4.69261294261294,7.16535185775443,1.15837088964329e-07,2.28077131481871e-05,2.21085191956849e-05,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/ATP5MG/PARP1",17,"2"
"GO:0140053","mitochondrial gene expression","20/468","166/15373",0.120481927710843,3.95762537328802,6.78887103500372,1.61844177435904e-07,3.02729533893858e-05,2.93449048035099e-05,"MRPL36/MRPS6/MRPS16/GADD45GIP1/TSFM/MRPS14/MRPS33/MRPL9/MRPL34/CHCHD1/MRPL3/MRPL58/MRPL14/TFAM/MRPL39/MRPS12/MRPS15/SLIRP/MRPL47/TRMT10C",20,"2"
"GO:0046034","ATP metabolic process","23/468","226/15373",0.101769911504425,3.34296762725966,6.28751912554464,4.29177871964468e-07,7.64549723342417e-05,7.41111663617842e-05,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/NUDT5/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/TSPO/NDUFS2/ATP5MC3/PGAM1/ATP5PD/ATP5MG/PARP1/DDIT4/GPI/GAPDH",23,"2"
"GO:0009152","purine ribonucleotide biosynthetic process","18/468","149/15373",0.120805369127517,3.96824987093443,6.45136076137029,6.47007836107715e-07,0.000104343048747978,0.00010114430505122,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/GMPS/ATP5MG/PARP1",18,"2"
"GO:0015980","energy derivation by oxidation of organic compounds","32/468","400/15373",0.08,2.62786324786325,5.84541871733064,6.54103310605419e-07,0.000104343048747978,0.00010114430505122,"ATP5PO/ETFB/GHITM/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/COMT/NDUFB7/CYC1/IDH2/ATP5F1B/UQCRFS1/NDUFB9/DGUOK/NDUFS2/CISD1/MDH1/PGAM1/ATP5PD/COX4I1/ATP5MG/CHCHD2/COX5B/UQCRH/DDIT4/GPI/GAPDH",32,"2"
"GO:0009260","ribonucleotide biosynthetic process","19/468","165/15373",0.115151515151515,3.78253043253043,6.36748553920358,6.69402076971791e-07,0.000104343048747978,0.00010114430505122,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/GMPS/ATP5MG/PARP1/CDA",19,"2"
"GO:0006164","purine nucleotide biosynthetic process","20/468","184/15373",0.108695652173913,3.57046636937941,6.21553291805634,8.63368977961549e-07,0.000129194533862166,0.000125233942276949,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/IDH2/ATP5F1B/NDUFB9/DGUOK/NDUFS2/ATP5MC3/ATP5PD/GMPS/ATP5MG/PARP1",20,"2"
"GO:0009144","purine nucleoside triphosphate metabolic process","24/468","255/15373",0.0941176470588235,3.09160382101559,5.96794030636656,1.00524214991377e-06,0.000144638880108747,0.000140204826172184,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/NUDT5/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/TSPO/DGUOK/NDUFS2/ATP5MC3/PGAM1/ATP5PD/ATP5MG/PARP1/DDIT4/GPI/GAPDH",24,"2"
"GO:0046390","ribose phosphate biosynthetic process","19/468","170/15373",0.111764705882353,3.67127953745601,6.20585000579989,1.06020717502419e-06,0.000146897594139463,0.000142394296996426,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/GMPS/ATP5MG/PARP1/CDA",19,"2"
"GO:0042254","ribosome biogenesis","26/468","302/15373",0.0860927152317881,2.82799852832965,5.68499913008439,1.94124839076789e-06,0.000259364651066524,0.000251413560383284,"EXOSC4/NOP10/PIH1D1/EXOSC3/YBEY/FBL/UTP11/GNL2/RPS7/RPS25/CDKN2A/GTPBP4/RPS16/RPL35A/RPS5/RPL7/RPL24/RPS23/RPL27/RPL5/RPS11/RPS6/RPL7A/RPS27A/RPS9/RPS24",26,"2"
"GO:0019646","aerobic electron transport chain","13/468","87/15373",0.149425287356322,4.90836526181354,6.47783627960172,2.14463571058072e-06,0.000271296856148322,0.000262979971420805,"NDUFB5/NDUFA8/SDHB/SDHC/NDUFB3/NDUFB7/CYC1/UQCRFS1/NDUFB9/NDUFS2/COX4I1/COX5B/UQCRH",13,"2"
"GO:0009205","purine ribonucleoside triphosphate metabolic process","23/468","248/15373",0.092741935483871,3.04641404742211,5.75696754764624,2.1755962802592e-06,0.000271296856148322,0.000262979971420805,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/NUDT5/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/TSPO/NDUFS2/ATP5MC3/PGAM1/ATP5PD/ATP5MG/PARP1/DDIT4/GPI/GAPDH",23,"2"
"GO:0009141","nucleoside triphosphate metabolic process","24/468","271/15373",0.0885608856088561,2.90907370612168,5.61839453299566,2.95367582217717e-06,0.000356441975831122,0.000345514879707991,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/NUDT5/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/TSPO/DGUOK/NDUFS2/ATP5MC3/PGAM1/ATP5PD/ATP5MG/PARP1/DDIT4/GPI/GAPDH",24,"2"
"GO:0009165","nucleotide biosynthetic process","21/468","217/15373",0.0967741935483871,3.17886683209264,5.72783344164766,3.07042338930721e-06,0.000358951684356196,0.000347947650531689,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/IDH2/ATP5F1B/NDUFB9/DGUOK/NDUFS2/ATP5MC3/ATP5PD/GMPS/ATP5MG/PARP1/CDA",21,"2"
"GO:0006613","cotranslational protein targeting to membrane","7/468","23/15373",0.304347826086957,9.99730583426236,7.65146041067496,3.72010673422137e-06,0.000421724827052186,0.000408796417843464,"SRP19/SRP72/SEC61B/SSR3/SSR2/SSR1/SEC63",7,"2"
"GO:1904869","regulation of protein localization to Cajal body","5/468","10/15373",0.5,16.4241452991453,8.64540248766418,5.68424007983665e-06,0.000607564061104826,0.000588938558647737,"CCT4/CCT2/TCP1/CCT8/CCT5",5,"2"
"GO:1904871","positive regulation of protein localization to Cajal body","5/468","10/15373",0.5,16.4241452991453,8.64540248766418,5.68424007983665e-06,0.000607564061104826,0.000588938558647737,"CCT4/CCT2/TCP1/CCT8/CCT5",5,"2"
"GO:0006091","generation of precursor metabolites and energy","32/468","459/15373",0.0697167755991285,2.29007690445599,4.97218178227332,1.19537427612797e-05,0.00124219310194298,0.00120411239218153,"ATP5PO/ETFB/GHITM/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/COMT/NDUFB7/CYC1/IDH2/ATP5F1B/UQCRFS1/NDUFB9/DGUOK/NDUFS2/CISD1/MDH1/PGAM1/ATP5PD/COX4I1/ATP5MG/CHCHD2/COX5B/UQCRH/DDIT4/GPI/GAPDH",32,"2"
"GO:0016072","rRNA metabolic process","22/468","258/15373",0.0852713178294574,2.80101702776121,5.16946644136102,1.39033679475752e-05,0.00136179910566163,0.00132005175058859,"TRIR/EXOSC4/NOP10/PIH1D1/EXOSC3/YBEY/FBL/UTP11/POLR1D/RPS7/MYC/RPS25/CDKN2A/GTPBP4/RPS16/RPL35A/RPL7/RPL27/RPL5/RPS6/RPL7A/RPS24",22,"2"
"GO:0090670","RNA localization to Cajal body","6/468","19/15373",0.315789473684211,10.3731443994602,7.24391697811163,1.49248231307477e-05,0.00136179910566163,0.00132005175058859,"NOP10/CCT4/CCT2/TCP1/CCT8/CCT5",6,"2"
"GO:0090671","telomerase RNA localization to Cajal body","6/468","19/15373",0.315789473684211,10.3731443994602,7.24391697811163,1.49248231307477e-05,0.00136179910566163,0.00132005175058859,"NOP10/CCT4/CCT2/TCP1/CCT8/CCT5",6,"2"
"GO:0090672","telomerase RNA localization","6/468","19/15373",0.315789473684211,10.3731443994602,7.24391697811163,1.49248231307477e-05,0.00136179910566163,0.00132005175058859,"NOP10/CCT4/CCT2/TCP1/CCT8/CCT5",6,"2"
"GO:0090685","RNA localization to nucleus","6/468","19/15373",0.315789473684211,10.3731443994602,7.24391697811163,1.49248231307477e-05,0.00136179910566163,0.00132005175058859,"NOP10/CCT4/CCT2/TCP1/CCT8/CCT5",6,"2"
"GO:1903405","protein localization to nuclear body","5/468","12/15373",0.416666666666667,13.6867877492878,7.79030886887999,1.69822960203946e-05,0.00144388112300673,0.00139961745909711,"CCT4/CCT2/TCP1/CCT8/CCT5",5,"2"
"GO:1904867","protein localization to Cajal body","5/468","12/15373",0.416666666666667,13.6867877492878,7.79030886887999,1.69822960203946e-05,0.00144388112300673,0.00139961745909711,"CCT4/CCT2/TCP1/CCT8/CCT5",5,"2"
"GO:1904872","regulation of telomerase RNA localization to Cajal body","5/468","12/15373",0.416666666666667,13.6867877492878,7.79030886887999,1.69822960203946e-05,0.00144388112300673,0.00139961745909711,"CCT4/CCT2/TCP1/CCT8/CCT5",5,"2"
"GO:0072522","purine-containing compound biosynthetic process","21/468","249/15373",0.0843373493975904,2.77033776130162,4.99050616478107,2.56379711946733e-05,0.00213137000531717,0.00206603066118478,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/TECR/NDUFB7/IDH2/ATP5F1B/NDUFB9/DGUOK/NDUFS2/ATP5MC3/ATP5PD/GMPS/ATP5MG/PARP1",21,"2"
"GO:0006403","RNA localization","18/468","196/15373",0.0918367346938776,3.01667974882261,5.03493803505364,3.14670405779807e-05,0.00255909127830926,0.00248063969773784,"HSF1/SSB/NOP10/PIH1D1/CCT4/CCT2/TCP1/SEC13/FBL/CCT8/MAGOH/RTRAF/FYTTD1/DDX39A/HNRNPA1/CCT5/YBX1/NCBP2",18,"2"
"GO:0006364","rRNA processing","19/468","217/15373",0.0875576036866359,2.87611760998858,4.93196235248386,3.70570204282078e-05,0.00294958113663671,0.00285915868701402,"EXOSC4/NOP10/PIH1D1/EXOSC3/YBEY/FBL/UTP11/RPS7/RPS25/CDKN2A/GTPBP4/RPS16/RPL35A/RPL7/RPL27/RPL5/RPS6/RPL7A/RPS24",19,"2"
"GO:1990173","protein localization to nucleoplasm","5/468","14/15373",0.357142857142857,11.7315323565324,7.11813812748772,4.08099593579135e-05,0.00318062620745738,0.00308312083307044,"CCT4/CCT2/TCP1/CCT8/CCT5",5,"2"
"GO:0032212","positive regulation of telomere maintenance via telomerase","6/468","23/15373",0.260869565217391,8.56911928651059,6.43690651748977,5.00622299748896e-05,0.00382209800685841,0.00370492765335112,"CCT4/CCT2/TCP1/CCT8/HNRNPA1/CCT5",6,"2"
"GO:2000573","positive regulation of DNA biosynthetic process","8/468","45/15373",0.177777777777778,5.83969610636277,5.76107763339947,5.5603170403884e-05,0.0041602292096186,0.004032693095608,"CCT4/CCT2/TCP1/CCT8/PCNA/HNRNPA1/CCT5/RFC4",8,"2"
"GO:0035036","sperm-egg recognition","8/468","46/15373",0.173913043478261,5.71274619100706,5.67213439562461,6.55386765411593e-05,0.00480745468510739,0.00466007720710616,"VDAC2/CCT4/CCT2/TCP1/CCT8/CD9/CCT5/FOLR1",8,"2"
"GO:0042274","ribosomal small subunit biogenesis","12/468","103/15373",0.116504854368932,3.82698531242221,5.10087604744258,6.83522577560144e-05,0.00491741915894711,0.00476667060666942,"FBL/UTP11/RPS7/RPS25/RPS16/RPS5/RPS23/RPS11/RPS6/RPS27A/RPS9/RPS24",12,"2"
"GO:0022618","protein-RNA complex assembly","17/468","192/15373",0.0885416666666667,2.90844239672365,4.71521613332976,8.20617062785096e-05,0.0057923177959982,0.00561474832431908,"EIF3H/EIF2D/PIH1D1/SF3B5/PSIP1/SF3B6/PUF60/SRSF9/LSM4/EIF3D/PRPF31/SF3B2/EIF3L/RPL24/RPL13A/RPL5/RPS6",17,"2"
"GO:0006163","purine nucleotide metabolic process","28/468","423/15373",0.066193853427896,2.17435493322018,4.33981371638427,0.000103336535997125,0.00715892557713416,0.00693946133547945,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/NUDT5/SDHC/NDUFB3/NDUFB7/IDH2/ATP5F1B/NDUFB9/TSPO/DGUOK/NDUFS2/ATP5MC3/MDH1/PGAM1/ATP5PD/GMPS/ATP5MG/PARP1/DDIT4/GPI/GMPR/GAPDH",28,"2"
"GO:1904358","positive regulation of telomere maintenance via telomere lengthening","6/468","26/15373",0.230769230769231,7.58037475345168,5.95042080029732,0.000105653995371171,0.00718639266697364,0.00696608639337194,"CCT4/CCT2/TCP1/CCT8/HNRNPA1/CCT5",6,"2"
"GO:0002183","cytoplasmic translational initiation","8/468","50/15373",0.16,5.2557264957265,5.34083221813632,0.000121222181001813,0.00809807462728182,0.00784981980359484,"EIF3H/EIF2D/EIF4G1/EIF3D/EIF3L/EIF4A2/RPL13A/NCBP2",8,"2"
"GO:0009259","ribonucleotide metabolic process","25/468","362/15373",0.069060773480663,2.26852835623554,4.32784578199027,0.000124993984672243,0.00820355257296245,0.0079520642141436,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/NUDT5/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/TSPO/NDUFS2/ATP5MC3/PGAM1/ATP5PD/GMPS/ATP5MG/PARP1/DDIT4/GPI/GAPDH/CDA",25,"2"
"GO:0009150","purine ribonucleotide metabolic process","24/468","341/15373",0.0703812316715543,2.31190315061283,4.34102918112268,0.000127544687535488,0.00822663234603899,0.00797443645299014,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/NUDT5/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/TSPO/NDUFS2/ATP5MC3/PGAM1/ATP5PD/GMPS/ATP5MG/PARP1/DDIT4/GPI/GAPDH",24,"2"
"GO:0071826","protein-RNA complex organization","17/468","201/15373",0.0845771144278607,2.77821363269124,4.49658359179719,0.000143921991378251,0.00912562999569556,0.00884587440317708,"EIF3H/EIF2D/PIH1D1/SF3B5/PSIP1/SF3B6/PUF60/SRSF9/LSM4/EIF3D/PRPF31/SF3B2/EIF3L/RPL24/RPL13A/RPL5/RPS6",17,"2"
"GO:0009117","nucleotide metabolic process","30/468","478/15373",0.0627615062761506,2.06160819654544,4.17811203968866,0.000152009195119773,0.00947777331571786,0.00918722240680033,"ATP5PO/ATP5F1C/REXO2/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/NUDT5/SDHC/NDUFB3/NDUFB7/IDH2/ATP5F1B/NDUFB9/TSPO/DGUOK/NDUFS2/ATP5MC3/MDH1/PGAM1/ATP5PD/GMPS/ATP5MG/PARP1/DDIT4/GPI/GMPR/GAPDH/CDA",30,"2"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane","5/468","18/15373",0.277777777777778,9.12452516619183,6.11126976240263,0.000157884417118718,0.00968271482690369,0.0093858812247452,"SRP19/SRP72/SEC61B/SSR3/SEC63",5,"2"
"GO:0019693","ribose phosphate metabolic process","25/468","368/15373",0.0679347826086956,2.23154148086213,4.23718160366159,0.000161524602251958,0.00974618608104151,0.00944740670217308,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/NUDT5/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/TSPO/NDUFS2/ATP5MC3/PGAM1/ATP5PD/GMPS/ATP5MG/PARP1/DDIT4/GPI/GAPDH/CDA",25,"2"
"GO:1901293","nucleoside phosphate biosynthetic process","22/468","305/15373",0.0721311475409836,2.3693848956144,4.28025626309944,0.000170709415307407,0.0101368876613494,0.00982613092287416,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/TECR/NDUFB7/IDH2/ATP5F1B/NDUFB9/DGUOK/NDUFS2/ATP5MC3/ATP5PD/GMPS/ATP5MG/PARP1/CDA",22,"2"
"GO:0050821","protein stabilization","18/468","229/15373",0.0786026200873362,2.58196170641585,4.27381315518058,0.00023233726838083,0.0135808393908232,0.0131645047626967,"PIH1D1/CCT4/CCT2/TCP1/PAK4/CCT8/SUMO1/PFN1/GRN/CALR/CCNH/RPS7/CDKN2A/CCT5/GTPBP4/MFSD1/RPL5/GAPDH",18,"2"
"GO:0075522","IRES-dependent viral translational initiation","4/468","11/15373",0.363636363636364,11.9448329448329,6.43433581696446,0.000236018986583101,0.0135838004431905,0.013167375040952,"EIF2D/SSB/EIF3D/PCBP2",4,"2"
"GO:0090114","COPII-coated vesicle budding","7/468","43/15373",0.162790697674419,5.34739614390777,5.05841539356818,0.000288809108381115,0.0163702253705114,0.0158683792403978,"PDCD6/TRAPPC4/TFG/RAB1A/SEC13/TMED10/TMED2",7,"2"
"GO:0032206","positive regulation of telomere maintenance","9/468","74/15373",0.121621621621622,3.99506237006237,4.57627729782656,0.000397220790764249,0.0221791489290904,0.0214992242605316,"CCT4/CCT2/TCP1/CCT8/ACTL6A/TFPT/MYC/HNRNPA1/CCT5",9,"2"
"GO:0031647","regulation of protein stability","23/468","358/15373",0.0642458100558659,2.11036503843766,3.76674957720246,0.000639652123843195,0.0351902734602558,0.0341114793597493,"RAD23A/PIH1D1/CCT4/CCT2/TCP1/AHSA1/PAK4/CCT8/ISOC2/SUMO1/PFN1/GRN/CALR/CCNH/RPS7/CDKN2A/CCT5/GTPBP4/MFSD1/RPL5/GAPDH/ID1/TF",23,"2"
"GO:0007339","binding of sperm to zona pellucida","6/468","36/15373",0.166666666666667,5.4747150997151,4.76286810797866,0.000690834627230854,0.0374552513111685,0.0363070219803248,"VDAC2/CCT4/CCT2/TCP1/CCT8/CCT5",6,"2"
"GO:0019081","viral translation","5/468","25/15373",0.2,6.56965811965812,4.93849673717715,0.000821091135245839,0.0426625269021484,0.041354663171373,"EIF2D/SSB/EIF3D/EIF3L/PCBP2",5,"2"
"GO:0048207","vesicle targeting, rough ER to cis-Golgi","5/468","25/15373",0.2,6.56965811965812,4.93849673717715,0.000821091135245839,0.0426625269021484,0.041354663171373,"PDCD6/TRAPPC4/TFG/TMED10/TMED2",5,"2"
"GO:0048208","COPII vesicle coating","5/468","25/15373",0.2,6.56965811965812,4.93849673717715,0.000821091135245839,0.0426625269021484,0.041354663171373,"PDCD6/TRAPPC4/TFG/TMED10/TMED2",5,"2"
"GO:0051054","positive regulation of DNA metabolic process","19/468","277/15373",0.0685920577617329,2.25313184609213,3.72930438768991,0.000858906111923876,0.0440159967768112,0.0426666410321233,"BABAM1/HSF1/YEATS4/CCT4/VPS72/CCT2/TCP1/EXOSC3/MEAF6/CCT8/ACTL6A/MORF4L2/PARP1/PCNA/TFPT/MYC/HNRNPA1/CCT5/RFC4",19,"2"
"GO:2000278","regulation of DNA biosynthetic process","9/468","83/15373",0.108433734939759,3.56186283595922,4.14680201899201,0.000928583104973892,0.0463953879787253,0.0449730895445092,"CCT4/CCT2/TCP1/MEAF6/CCT8/PCNA/HNRNPA1/CCT5/RFC4",9,"2"
"GO:0006901","vesicle coating","6/468","38/15373",0.157894736842105,5.18657219973009,4.57857800515098,0.000930140095804437,0.0463953879787253,0.0449730895445092,"PDCD6/TRAPPC4/TFG/TMED10/TMED2/AP3S1",6,"2"
